Loication,Claims,ClaimAmount
1,108,392.5
2,19,46.2
3,13,15.7
4,124,422.2
5,40,119.4
6,57,170.9
7,23,56.9
8,14,77.5
9,45,214
10,10,65.3
11,5,20.9
12,48,248.1
13,11,23.5
14,23,39.6
15,7,48.8
16,2,6.6
17,24,134.9
18,6,50.9
19,3,4.4
20,23,113
21,6,14.8
22,9,48.7
23,9,52.1
24,3,13.2
25,29,103.9
26,7,77.5
27,4,11.8
28,20,98.1
29,7,27.9
30,4,38.1
31,0,0
32,25,69.2
33,6,14.6
34,5,40.3
35,22,161.5
36,11,57.2
37,61,217.6
38,12,58.1
39,4,12.6
40,16,59.6
41,13,89.9
42,60,202.4
43,41,181.3
44,37,152.8
45,55,162.8
46,41,73.4
47,11,21.3
48,27,92.6
49,8,76.1
50,3,39.9
51,17,142.1
52,13,93
53,13,31.9
54,15,32.1
55,8,55.6
56,29,133.3
57,30,194.5
58,24,137.9
59,9,87.4
60,31,209.8
61,14,95.5
62,53,244.6
63,26,187.5
