id,item
1,B
1,C
1,D
1,E
2,A
2,B
2,C
2,D
2,E
3,A
3,B
3,C
4,A
4,B
4,C
4,D
5,A
5,C
5,D
5,E
6,C
6,D
6,E
7,A
7,B
7,C
7,D
7,E
8,A
8,B
8,C
9,B
10,A
10,C
10,D
11,B
11,D
11,E
12,B
12,D
12,E
13,A
13,B
13,C
13,D
13,E
14,A
14,C
14,D
14,E
15,A
15,C
16,A
16,B
16,D
17,B
17,C
17,E
18,A
18,B
18,C
18,D
19,B
19,C
20,A
20,B
20,C
20,D
21,A
21,C
21,D
22,A
22,E
23,A
23,C
23,D
24,A
24,E
25,A
25,C
25,E
26,E
27,C
27,D
28,A
28,B
28,C
28,D
29,B
30,D
30,E
31,A
31,C
31,E
32,A
32,C
32,D
33,B
33,C
33,E
34,B
34,D
35,C
35,E
36,A
36,B
36,C
36,D
37,A
37,C
37,D
37,E
38,A
38,C
39,B
39,E
40,A
40,B
40,C
41,B
41,C
41,E
42,A
42,B
42,D
43,B
43,C
43,E
44,A
45,A
45,B
45,C
45,D
45,E
46,B
46,C
46,D
47,B
47,E
48,A
48,B
48,C
49,C
49,E
50,B
50,C
50,E
51,A
51,B
52,A
52,B
52,C
52,D
53,B
53,C
53,D
54,A
54,B
54,C
54,D
55,A
55,B
56,B
56,C
56,E
57,A
57,B
57,C
57,E
58,A
58,B
59,A
59,B
59,C
59,D
60,A
61,B
61,C
61,D
61,E
62,B
62,D
63,E
64,A
64,B
64,C
64,D
65,A
65,D
66,A
66,D
66,E
67,B
67,C
67,D
68,A
68,C
68,E
69,B
69,C
69,D
69,E
70,A
70,B
70,D
71,A
71,C
71,E
72,A
72,D
72,E
73,D
73,E
74,A
74,B
74,C
74,E
75,B
75,D
76,A
76,C
76,E
77,A
77,B
78,B
79,A
79,C
79,D
79,E
80,C
80,D
81,A
81,B
82,D
83,A
83,B
83,C
83,D
83,E
84,C
84,D
84,E
85,B
85,C
85,D
85,E
86,A
86,B
86,C
86,E
87,E
88,B
88,D
88,E
89,A
89,B
89,E
90,C
90,E
91,A
91,B
91,C
91,D
92,B
92,C
92,D
93,A
93,B
93,C
93,D
93,E
94,B
94,D
95,B
95,C
95,D
96,A
96,B
96,C
96,E
97,B
97,C
97,D
98,D
99,A
99,C
99,D
99,E
100,A
100,B
100,E
