"POLICY_NO","ZONE_NAME","Plan","Sum_Assured"
"A-2007082123389","North","Asia Standard Plan",25000
"A-2007082123394","North","Asia Standard Plan",25000
"A-2007091348784","South","Asia Standard Plan",25000
"A-2007091348862","South","Asia Standard Plan",25000
"A-2007100469681","South","Asia Standard Plan",25000
"A-2007100469711","South","Asia Standard Plan",25000
"A-2007100469809","South","Asia Standard Plan",25000
"A-2007100469862","South","Asia Standard Plan",25000
"A-2007100469872","South","Asia Standard Plan",25000
"A-2007100872484","South","Asia Standard Plan",25000
"A-2007100973843","South","Asia Standard Plan",50000
"A-2007110600138","South","Asia Standard Plan",25000
"A-2008012960937","South","Asia Standard Plan",25000
